Stock,Trendlyne Valuation Score,Trendlyne Durability Score,Trendlyne Momentum Score,Current Price Rs,MCAP Cr,Latest Financial Result,PE Trailing 12M,My Notes
CSL Finance Ltd.,59.83333,80.00000,71.31000,373.40,230.3579280,2021-03-31,8.267860982139516057784687098,
Century Enka Ltd.,59.83333,70.00000,67.94000,396.90,867.2503140,2021-03-31,12.22823449742387546610708655,
Galaxy Bearings Ltd.,59.50000,80.00000,60.31000,235.00,74.7300000,2021-03-31,9.513199463050733285510951919,
Flex Foods Ltd.,59.33333,75.00000,70.58000,112.15,139.6267500,2021-03-31,11.64526941432030669164281887,
Freshtrop Fruits Ltd.,59.33333,80.00000,73.47000,121.15,132.3297220,2021-03-31,13.37339648946962312742092696,
Xpro India Ltd.,59.33333,70.00000,72.09000,169.80,200.5932300,2021-03-31,24.01279551082343524393917324,
Thirumalai Chemicals..,59.16667,90.00000,72.00000,156.80,1605.4454080,2021-03-31,13.64289716666260628060515994,
Kalyani Steels Ltd.,59.00000,80.00000,62.16000,397.00,1733.0280700,2021-03-31,9.123357910479865645340836702,
Manaksia Ltd.,59.00000,70.00000,60.12000,64.25,421.0559500,2021-03-31,7.060338698458153894504803778,
Manali Petrochemical..,59.00000,60.00000,73.82000,81.30,1398.3534960,2021-03-31,6.951736309440338198123629747,
Tamilnadu Petroprodu..,59.00000,70.00000,77.87000,121.60,1094.0534400,2021-03-31,8.669057311308984879053818021,
Sakuma Exports Ltd.,59.00000,65.00000,77.93000,12.40,290.8536560,2021-03-31,26.36727056221825295568597431,
Shri Bajrang Allianc..,59.00000,70.00000,68.56000,304.70,274.2300000,2021-03-31,8.907359080580466310625657930,
Lakshmi Electrical C..,58.83333,65.00000,64.88000,410.00,100.7780000,2021-03-31,32.94691689180393209399353598,
La Tim Metal & Indus..,58.83333,60.00000,72.46000,93.80,82.8385320,2021-03-31,4.704605447612111801086472955,
Panama Petrochem Ltd.,58.83333,70.00000,69.62000,240.90,1457.2908240,2021-03-31,10.76656224874110775366784910,
Caprihans India Ltd.,58.66667,70.00000,69.76000,168.65,221.5049100,2021-03-31,10.95229436442273972958580650,
Uni Abex Alloy Produ..,58.50000,80.00000,65.51000,555.30,109.6717500,2021-03-31,10.23798474866604755712612965,
LG Balakrishnan & Br..,58.33333,75.00000,64.82000,462.85,1452.9972340,2021-03-31,10.93855056228900130336191749,
Sarla Performance Fi..,58.33333,75.00000,74.45000,42.20,352.3826600,2021-03-31,10.66173498261783490985528337,
Mindteck (India) Ltd.,58.33333,75.00000,63.59000,71.65,183.7106000,2021-03-31,16.63258128840408467411515364,
Ambika Cotton Mills ..,58.16667,65.00000,61.99000,1179.25,675.1206250,2021-03-31,9.935549729732826601340163903,
Ramco Industries Ltd.,58.00000,70.00000,66.13000,280.80,2433.4998480,2021-03-31,8.733447892449206509653290205,
I G Petrochemicals L..,57.66667,85.00000,62.93000,666.20,2051.5495760,2021-03-31,10.90737864026803794235298124,
Gallantt Ispat Ltd.,57.66667,80.00000,71.83000,54.85,1548.7484395,2021-03-31,12.54927621448852261729626588,
Pudumjee Paper Produ..,57.66667,85.00000,66.82000,38.90,369.3555000,2021-03-31,12.29992854026092290569211603,
Dhunseri Tea & Indus..,57.16667,65.00000,66.80000,463.00,324.3315000,2021-03-31,8.284943359081076312559598357,
Technocraft Industri..,57.16667,75.00000,70.33000,551.25,1348.4512125,2021-03-31,10.36348623729027687851230534,
Sahyadri Industries ..,57.00000,75.00000,67.13000,535.70,512.2095550,2021-03-31,8.302307520756156253240061912,
Rail Vikas Nigam Ltd.,57.00000,65.00000,61.59000,32.20,6713.7647220,2021-03-31,7.278497464958103431517702346,
Harrisons Malayalam ..,56.66667,80.00000,66.98000,205.10,378.5202540,2021-03-31,9.363214664136331327234537343,
Emami Paper Mills Ltd.,56.66667,75.00000,62.93000,154.15,932.5920850,2021-03-31,18.26493215966975012056158594,
Beekay Steel Industr..,56.66667,65.00000,61.60000,376.85,718.7320885,2021-03-31,8.846856765902803128385651119,
Paul Merchants Ltd.,56.66667,60.00000,63.59000,1884.00,193.6752000,2021-03-31,15.28055264989845002152173379,
TAAL Enterprises Ltd.,56.66667,65.00000,70.16000,680.35,212.0174705,2021-03-31,6.666545162793632726715448512,
Arfin India Ltd.,56.50000,65.00000,61.58000,70.15,111.4851860,2021-03-31,27.76579365047951901650115377,
GP Petroleums Ltd.,56.50000,75.00000,64.62000,66.00,336.4970400,2021-03-31,18.98504783656750335114859539,
INEOS Styrolution In..,56.33333,65.00000,67.74000,1452.50,2554.3084000,2021-03-31,9.115511129458583196658194000,
NCL Industries Ltd.,56.33333,65.00000,62.54000,211.15,955.0905720,2021-03-31,6.566538487254882142840482718,
BSL Ltd.,56.33333,70.00000,67.25000,57.35,59.0257670,2021-03-31,43.39207215114211565670704488,
Rama Steel Tubes Ltd.,56.33333,80.00000,81.60000,144.45,242.5893300,2021-03-31,21.85021146829790709916320270,
Ashoka Buildcon Ltd.,56.16667,70.00000,65.26000,112.20,3149.7143040,2021-03-31,11.40282143608474674455545765,
Univastu India Ltd.,56.16667,60.00000,73.15000,56.25,63.9258750,2021-03-31,6.654190306293858507663261299,
FAZE THREE Autofab L..,56.00000,95.00000,68.10000,92.30,98.9751360,2021-03-31,8.914015962172895210575519002,
Precision Wires Indi..,56.00000,75.00000,61.24000,233.05,538.9793960,2021-03-31,13.71100115900760709053790896,
Vijay Solvex Ltd.,56.00000,75.00000,77.31000,2268.45,726.1988985,2021-03-31,10.87667918579177592731907083,
Basant Agro Tech (In..,56.00000,75.00000,80.44000,16.09,145.8196475,2021-03-31,16.59858050672608731534208137,
Lancer Container Lin..,55.66667,70.00000,61.83000,99.30,99.7667100,2021-03-31,11.36709654820312875612140471,
Pitti Engineering Ltd.,55.66667,65.00000,70.07000,137.75,441.4901275,2021-03-31,15.34499218547221915879365525,
Intrasoft Technologi..,55.66667,65.00000,73.16000,110.75,163.1535775,2021-03-31,19.55646122523216124059479895,
Gloster Ltd.,55.66667,75.00000,77.96000,1179.95,645.6214420,2021-03-31,15.63926895248244152587414627,
Fiberweb (India) Ltd.,55.50000,75.00000,74.77000,52.60,151.4443420,2021-03-31,10.53774556352898280704706726,
NTC Industries Ltd.,55.50000,75.00000,63.54000,64.85,77.4568400,2021-03-31,9.637891701901570151516277411,
Jayant Agro Organics..,55.50000,75.00000,67.11000,217.25,651.7500000,2021-03-31,19.39662869183243455590871755,
Ram Ratna Wires Ltd.,55.33333,65.00000,72.87000,134.60,296.1200000,2021-03-31,19.87317195609003462302246436,
Usha Martin Ltd.,55.33333,60.00000,71.60000,54.50,1660.8439000,2021-03-31,11.12660442573450901050800605,
Vardhman Special Ste..,55.33333,80.00000,75.95000,245.35,993.8392450,2021-03-31,22.48769752924042267889107742,
S P Apparels Ltd.,55.16667,60.00000,63.99000,226.35,581.5520010,2021-03-31,13.47079275035082979131132380,
Redington (India) Ltd.,55.16667,65.00000,67.34000,293.00,11437.0147400,2021-03-31,15.07629738485413553642803924,
Stock,Trendlyne Valuation Score,Trendlyne Durability Score,Trendlyne Momentum Score,Current Price Rs,MCAP Cr,Latest Financial Result,PE Trailing 12M,My Notes
LKP Securities Ltd.,55.00000,75.00000,68.97000,12.79,94.5624813,2021-03-31,23.80464925831487650989223697,
Rama Phosphates Ltd.,55.00000,65.00000,79.65000,260.35,460.6424620,2021-03-31,10.92752367665106970950037691,
Jasch Industries Ltd.,54.83333,85.00000,72.34000,128.50,145.5905000,2021-03-31,12.82509366809655648730166018,
Mangalam Organics Ltd.,54.83333,60.00000,68.19000,770.20,659.6300880,2021-03-31,7.878024209530486327352465278,
Orient Cement Ltd.,54.66667,85.00000,63.24000,138.05,2828.2137840,2021-03-31,13.20453688948744779879748325,
